Nighttime lights,GDP2015,Ten years change of NDVI,Population,Degree of urbanization,Impact of the vadose zone, Depth to groundwater,Slope,Aquifer water yield capacity, Net recharge, Conductivity,LULC,PPSD,EWQI,target
0,415,0.5969387,39.03503931,12,10,10,5,5,6,3,1,0,86.0975437,0
0.546185,626,0.4795918,40.01931618,21,10,10,10,5,6,3,8,0,60.72926721,1
2.2722523,635,0.5714285,2.489499941,12,10,10,10,5,6,3,1,0.0353678,96.16208391,0
0.3765263,621,0.4872449,17.62355516,13,10,7,9,5,6,3,1,0,109.9638762,0
0,623,0.4438775,33.82011971,12,10,9,10,5,6,3,1,0,62.05522675,1
1.2262782,620,0.502551,33.96813609,22,4,6,10,5,6,3,1,0,534.7227679,0
9.8776703,1269,0.622449,485.3299017,30,2,1,9,3,3,2,8,0.0353678,155.824641,0
0,1173,0.5178571,74.50685467,21,2,2,9,3,3,2,8,0,69.98282726,0
0.475351,1086,0.4668367,224.7808556,21,2,1,10,1,3,2,8,0,279.3641109,0
0.3141204,1074,0.6658162,146.979286,21,8,2,9,1,6,2,1,0,113.0531076,0
0.9525145,1105,0.4846939,47.33690334,21,2,1,9,1,3,3,1,0,92.47431727,0
8.4319582,3918,0.4107143,140.609248,30,10,4,9,9,6,5,8,0.0353678,113.9386748,0
8.4319582,3918,0.4107143,140.609248,30,10,4,9,9,6,5,8,0.0353678,151.6849984,0
2.023736,4740,0.4872449,40.76872165,21,10,4,10,9,8,3,8,0.0353678,125.5793626,0
15.01653,4807,0.4770408,55.22533695,21,10,4,10,7,8,3,8,0.1061033,78.41912565,0
0,2084,0.5433673,22.97482886,23,10,6,10,7,6,3,1,0,177.7648789,0
0,607,0.4362245,0.577294931,11,8,4,9,5,3,3,1,0,132.1643469,0
5.1383615,1370,0.5535714,348.7014989,30,6,7,9,5,6,5,8,0.0353678,57.87575527,1
5.1383615,1370,0.5535714,348.7014989,30,6,7,9,5,6,5,8,0.0353678,58.19082024,1
1.0803874,1329,0.5663265,19.67152548,30,8,9,10,5,6,5,1,0.0353678,53.33541191,1
12.5999432,1263,0.4030612,12.03931499,21,8,7,9,5,6,5,1,0.0707355,25.4466796,1
0,611,0.5382653,0,21,4,6,10,5,6,2,1,0,78.08069414,0
1.2524183,1370,0.5382653,21.153054,21,8,7,9,3,6,3,8,0.0353678,111.5455806,0
2.7821872,2089,0.5229591,109.9344572,23,8,1,9,7,6,3,1,0,149.3865973,0
1.887381,2181,0.4540816,66.1524188,21,10,2,9,5,6,3,1,0,123.9821324,0
1.967168,2043,0.507653,109.7152959,21,2,2,9,5,3,3,8,0,128.6444637,0
0,2043,0.4744897,52.45863561,21,2,2,9,1,3,3,8,0,111.2706708,0
0,2037,0.4846938,60.32478474,21,2,4,10,5,3,3,8,0,146.1456737,0
0,1562,0.5943877,32.88833921,12,8,1,5,1,6,4,1,0.0353678,81.20475883,0
1.4676701,1661,0.6096938,299.1556414,30,2,2,9,1,3,4,1,0.1414711,92.46481079,0
2.5889263,1553,0.5,414.7860871,30,2,2,9,3,3,2,8,0.0707355,64.02378199,1
0.5681116,1552,0.4489795,134.6535645,21,2,2,10,1,3,2,8,0.0707355,68.20621675,0
0,1545,0.5484694,115.4572207,21,2,1,5,1,3,2,1,0,100.1885603,0
10.0087881,479,0.5408163,421.1499667,30,2,2,10,7,3,2,8,0,96.67576526,0
8.2397537,2294,0.3316326,30.92222715,21,6,1,9,7,6,3,1,0,96.37492011,0
1.1465113,2175,0.4744897,196.249583,21,10,2,10,9,6,3,8,0,86.12919673,0
4.7781219,2150,0.4846939,149.879442,23,6,4,10,7,8,3,8,0.1061033,146.4799952,0
0,1522,0.5382653,20.63612499,21,2,4,9,1,3,4,1,0,147.9818908,0
1.8043536,1068,0.5204081,57.15627238,21,2,1,10,1,3,4,1,0,248.5599441,0
1.8043536,1068,0.5204081,57.15627238,21,2,1,10,1,3,4,1,0,280.613853,0
6.1501713,1087,0.5586734,186.9035836,30,2,1,9,1,3,2,1,0,187.8378103,0
1.9709815,1018,0.6147959,16.80161323,21,2,1,10,1,3,2,1,0,150.832292,0
16.3791771,1350,0.4413265,84.36814642,22,2,2,10,3,3,2,1,0.0353678,97.42208019,0
0.4369486,1019,0.505102,0,21,4,1,9,5,6,3,1,0,238.90813,0
0.5720744,1101,0.4464285,46.10325204,21,2,1,9,3,3,2,1,0.0353678,222.181186,0
1.0778115,2221,0.5433673,118.5045613,30,6,4,10,7,6,5,1,0,137.7086833,0
0.5709225,3249,0.4770408,63.95618408,12,4,1,10,5,6,3,8,0,211.1081866,0
5.9705148,3301,0.4617347,25.01154383,21,4,6,10,5,6,3,1,0.0353678,109.418773,0
0,2046,0.5943877,8.780843334,12,4,4,10,1,6,3,1,0,214.7107369,0
0.731244,3258,0.6734694,52.86728889,21,4,2,5,1,6,3,1,0,177.312279,0
0,3523,0.4489796,19.881447,12,2,1,9,1,3,3,1,0,111.5249524,0
1.4587455,2594,0.5867347,399.8834397,30,10,2,10,1,6,2,1,0,126.8903463,0
1.0051986,744,0.5765306,56.42813873,22,10,2,10,3,6,2,1,0.0353678,254.8530268,0
1.4941734,3902,0.497449,597.4119011,23,2,4,10,3,3,2,8,0,103.363694,0
0.5757613,3902,0.4158163,61.21554014,21,2,2,9,3,3,2,8,0,57.59546254,1
10.2579956,22659,0.505102,267.2203427,30,2,1,5,7,3,5,8,0,101.8496252,0
1.303,14783,0.510204,43.49508769,21,2,1,5,3,3,2,8,0,76.58482009,0
4.5462055,11210,0.4872449,47.78588278,21,2,2,9,5,3,2,1,0,175.3005766,0
